"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TSUN"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-01",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-02",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-03",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-05",,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-06",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-07",,"0.03",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-08",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-09",,"0.02",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-13",,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-14",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-15",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-16",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-17",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-18",,"0.01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-19",,"1.94",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-20",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-21",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-22",,"0.00",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-23",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-28",,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-29",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-01-31",,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-01",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-03",,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-04",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-05",,"0.00",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-06",,"0.00",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-07",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-10",,"0.29",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-11",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-12",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-13",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-18",,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-19",,"0.00",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-22",,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-23",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-24",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-25",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-26",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-27",,"0.01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-02-28",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-01",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-02",,"0.47",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-03",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-04",,"0.91",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-05",,"0.78",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-06",,"0.23",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-07",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-08",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-09",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-10",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-11",,"0.22",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-12",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-13",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-15",,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-16",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-17",,"0.04",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-18",,"0.01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-19",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-21",,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-22",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-23",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-24",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-25",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-26",,"0.07",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-03-27",,"0.64",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-03",,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-04",,"0.03",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-05",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-06",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-07",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-08",,"0.25",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-09",,"0.01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-10",,"0.11",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-11",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-12",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-13",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-14",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-15",,"0.01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-16",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-17",,"0.23",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-18",,"0.00",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-19",,"0.00","0.0",,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2015-04-20",,"0.02",,,,
